Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,,Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,,Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,,Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,,Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,,Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,,Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,,Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,,Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,,Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,,Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,,Hour,Mean TEMP_MIN(C),Standard Deviation (TEMP_MIN(C)),,,
January,,,,,,February,,,,,,March,,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,
0,8.334420289855073,2.5048091477864536,,,,0,10.993367346938774,2.7970660444281545,,,,0,14.33474178403756,2.8103622064507245,,,,0,21.59142857142857,3.2021157971302805,,,,0,25.768749999999997,2.613488380387997,,,,0,28.463636363636365,2.7136582032093046,,,,0,27.43183520599251,2.1393577747068724,,,,0,26.215827338129497,1.0356077000087316,,,,0,24.148496240601503,1.8532276238837249,,,,0,17.428181818181816,2.4693318376674096,,,,0,12.784459459459459,2.6603879222784625,,,,0,7.5396907216494835,3.1312067281560947,,,
1,8.292418772563177,2.604767968783388,,,,1,10.795431472081217,2.8437712576992036,,,,1,14.215668202764975,2.8301102615756104,,,,1,22.270403587443944,3.434698088361393,,,,1,26.80826446280992,2.6715082803620303,,,,1,29.32394366197183,2.8715930107452965,,,,1,27.614606741573034,2.2406802686509275,,,,1,26.380286738351252,0.9784077055150503,,,,1,24.23076923076923,1.8701252024270698,,,,1,17.3,2.502277750249548,,,,1,12.61280276816609,2.731466410829016,,,,1,7.263681592039801,2.9765792878445767,,,
2,8.347569444444444,2.6137445856598838,,,,2,11.304545454545455,2.81753878294309,,,,2,16.40038314176245,3.4471210497113836,,,,2,25.08957528957529,3.603549222792473,,,,2,28.593772893772893,3.0339829924110666,,,,2,30.897222222222222,3.076191679156808,,,,2,28.27174721189591,2.4442978776198365,,,,2,27.175090252707577,1.3604762952647107,,,,2,25.003284671532846,1.8809717978650233,,,,2,18.437537537537537,2.9471117742889383,,,,2,13.082252559726962,2.935430100475932,,,,2,7.097461928934009,2.925234799864345,,,
3,9.745047923322684,2.4354771522978194,,,,3,12.816666666666668,2.9791670829170536,,,,3,18.982352941176472,4.0005768398948565,,,,3,27.540684410646392,3.373512727816209,,,,3,30.597426470588236,3.3118371692717465,,,,3,32.44166666666666,3.3771735113739605,,,,3,29.30743494423792,2.7675799220528217,,,,3,28.196402877697846,1.7472449051443444,,,,3,27.00220588235294,2.232315037847636,,,,3,22.846385542168676,3.3247455118891605,,,,3,16.358680555555555,2.8914975326443875,,,,3,9.367005076142133,3.301265357308482,,,
4,11.5828125,2.666596302375699,,,,4,14.932669322709163,3.1591844928045645,,,,4,21.464338235294118,4.168617030193637,,,,4,29.720000000000002,3.5459165991745896,,,,4,32.4536496350365,3.4996044356057654,,,,4,33.725,3.671641196260069,,,,4,30.349438202247192,2.9094109316195746,,,,4,29.181294964028783,1.9986890791962568,,,,4,28.447810218978105,2.1134809614004433,,,,4,25.566257668711657,2.233795659896234,,,,4,18.90856164383562,2.6812058955662494,,,,4,11.1679802955665,3.1729940111329595,,,
5,13.64936305732484,3.0840275142990716,,,,5,16.99206349206349,3.334704555453037,,,,5,23.457875457875456,4.227013063898043,,,,5,31.562264150943395,3.7462145127458064,,,,5,34.11066176470588,3.5890351198447807,,,,5,35.03581395348837,3.763579587868962,,,,5,31.249442379182156,3.0086074885092677,,,,5,29.857194244604315,2.2511712471182124,,,,5,29.303284671532847,2.212313783491472,,,,5,26.791185410334343,2.489494301555461,,,,5,20.358783783783785,3.521975970536189,,,,5,12.2375,3.7586624948244554,,,
6,15.375,3.3828588463545115,,,,6,18.658730158730158,3.5004142575993398,,,,6,24.913919413919412,4.322149744176883,,,,6,32.96278195488721,3.7346284157308274,,,,6,35.56481481481482,3.5534415976527134,,,,6,36.15277777777778,3.942655110580642,,,,6,31.925939849624058,3.21187353977078,,,,6,30.39139784946237,2.396592080762272,,,,6,29.991636363636367,2.31658900002597,,,,6,27.714803625377645,2.935766245950619,,,,6,21.45304054054054,4.245369999280262,,,,6,13.04141414141414,4.3175238437810854,,,
7,16.72044728434505,3.4270625362564884,,,,7,19.90869565217391,3.450944116430195,,,,7,26.18118081180812,4.307512540706097,,,,7,34.239543726235745,3.7519519610530723,,,,7,36.61933085501858,3.645417492856807,,,,7,37.1199074074074,3.964614547461724,,,,7,32.29293680297398,3.4939760054787374,,,,7,31.054316546762593,2.342360781198009,,,,7,30.425454545454546,2.483283616637688,,,,7,28.24636363636364,3.2756496632352863,,,,7,22.33732876712329,4.777516949941745,,,,7,13.745959595959595,4.708519984327555,,,
8,17.671844660194175,3.518607517555906,,,,8,20.791633466135462,3.308128604161099,,,,8,26.961029411764706,4.382932687175496,,,,8,35.04714828897338,3.8516478924631836,,,,8,37.48838951310861,3.5717755461953917,,,,8,37.95092592592592,3.854590706291856,,,,8,32.30185873605948,3.786548815931842,,,,8,31.182795698924732,2.535057010772501,,,,8,30.745652173913047,2.5246787588797814,,,,8,28.741304347826087,3.481076015277832,,,,8,22.696610169491525,5.036563467275736,,,,8,14.151269035532994,4.999244705765812,,,
9,17.986624203821655,3.5989488122290303,,,,9,21.226209677419355,3.160517284310035,,,,9,27.29188191881919,4.6018775809651515,,,,9,35.59734848484849,3.8261699260227235,,,,9,38.040074906367046,3.441562008457707,,,,9,38.51860465116279,3.7552230797361457,,,,9,32.41835205992509,3.9640425375303034,,,,9,31.167025089605737,2.6581966498884233,,,,9,30.979487179487183,2.484372495565446,,,,9,28.829141104294475,3.6397402487332924,,,,9,22.701016949152542,5.065145000991448,,,,9,14.535937500000001,5.088355799872268,,,
10,17.874447949526814,3.5038613348133367,,,,10,21.2204,3.2802231387513863,,,,10,27.30811808118081,4.531277989951532,,,,10,35.80801526717558,3.8400824815901764,,,,10,38.10566037735849,3.459262386985837,,,,10,38.67511737089202,3.7590817241394587,,,,10,32.05185185185185,4.312940937876113,,,,10,30.804332129963896,2.8826224030508323,,,,10,30.549462365591395,2.541538367539089,,,,10,28.461976047904194,3.4597112716610665,,,,10,22.419999999999998,4.735775132087134,,,,10,14.286069651741293,5.000239295281178,,,
11,17.18957654723127,3.0967391933714197,,,,11,20.547791164658634,3.249381334468056,,,,11,26.644280442804426,4.513999803271469,,,,11,35.46653696498055,4.113559346558747,,,,11,37.5793893129771,4.231718066577722,,,,11,38.484722222222224,3.9431020309577605,,,,11,31.89074074074074,4.43809554244788,,,,11,30.50609318996416,2.804041912147369,,,,11,30.115942028985508,2.384194524964615,,,,11,27.403021148036252,3.01937198550691,,,,11,21.190721649484537,3.960277398582546,,,,11,13.77142857142857,4.556202321214098,,,
12,15.099038461538463,2.1396813442498788,,,,12,18.824166666666663,3.185082307500947,,,,12,25.233076923076926,4.361375726173115,,,,12,34.040890688259104,4.138159052075895,,,,12,36.55058365758755,4.363289736507705,,,,12,37.90654205607477,3.7647348153010323,,,,12,31.496678966789663,4.143908974707893,,,,12,30.045323741007188,2.404543751023766,,,,12,29.707194244604324,2.2739576721309334,,,,12,24.975820895522393,3.069315714128511,,,,12,19.161872909698996,2.704279620302699,,,,12,14.108121827411168,2.7715075018613637,,,
13,12.99640522875817,2.0424626665587757,,,,13,15.916666666666666,2.6836532841436407,,,,13,21.73364055299539,4.059763462703462,,,,13,31.061904761904763,3.892786514577002,,,,13,34.02440191387559,4.19555788686152,,,,13,36.332857142857144,3.7746922206378914,,,,13,30.9182156133829,3.7436740911466595,,,,13,29.17347670250896,1.944999772045362,,,,13,27.717328519855595,2.0621365870443817,,,,13,22.030886850152903,2.3342929718286456,,,,13,17.391065292096222,2.731335769378057,,,,13,11.93316582914573,2.7838922045710657,,,
14,12.104054054054055,2.124419742028727,,,,14,14.740816326530611,2.657674168642992,,,,14,19.806912442396314,3.953718212266914,,,,14,28.35142857142857,3.381127292591553,,,,14,31.132524271844666,2.908567931896971,,,,14,34.33,3.249088516873031,,,,14,30.077037037037037,3.239340141785641,,,,14,28.436200716845878,1.63687828248898,,,,14,26.74676258992806,1.9794557117701523,,,,14,21.187461773700303,2.3522899203401475,,,,14,16.614965986394555,2.767335065760923,,,,14,11.09492385786802,3.0200975913383084,,,
15,11.418245614035087,2.1937112052306356,,,,15,13.912371134020619,2.628952899310983,,,,15,18.614814814814817,3.7334031445559854,,,,15,26.897607655502394,3.6373716809789083,,,,15,29.765533980582525,2.7353185250188576,,,,15,33.10190476190476,2.875081148416045,,,,15,29.580442804428042,2.9007864736219133,,,,15,28.0,1.4850950294095027,,,,15,26.200361010830324,2.0056868282622493,,,,15,20.48734939759036,2.303079962063033,,,,15,16.06148648648649,2.8525006489955596,,,,15,10.428426395939086,3.170566421382732,,,
16,10.841754385964911,2.1818977115997606,,,,16,13.391282051282053,2.764403009217388,,,,16,17.685981308411215,3.4131945350697586,,,,16,26.30480769230769,3.8844829328142816,,,,16,28.91504854368932,2.859970932633335,,,,16,32.19095238095238,2.629804274378979,,,,16,29.149259259259264,2.6197221027711315,,,,16,27.70586080586081,1.3685513084724648,,,,16,25.701067615658364,2.0149703773908545,,,,16,19.872865853658535,2.328121106051784,,,,16,15.526027397260272,2.936078243389332,,,,16,9.87487684729064,3.2236822808533097,,,
17,10.445714285714287,2.236511040136637,,,,17,13.008247422680409,2.7997301086086956,,,,17,17.185648148148147,3.2018263807546736,,,,17,25.923444976076556,3.714162162901779,,,,17,28.251456310679607,2.67029193988368,,,,17,31.407177033492825,2.5495841057317197,,,,17,28.8749063670412,2.509608406610232,,,,17,27.469117647058823,1.3021766114224447,,,,17,25.336727272727273,2.0236232622299086,,,,17,19.475379939209727,2.324947675658954,,,,17,15.101355932203388,2.899292407904488,,,,17,9.309278350515463,3.1814566615830713,,,
18,10.108571428571429,2.256403133759749,,,,18,12.60618556701031,2.7902745101250424,,,,18,16.831162790697675,3.1111511436469086,,,,18,25.446411483253584,3.516413876150656,,,,18,27.887439613526563,2.739254229580778,,,,18,30.91057692307692,2.5514859271394252,,,,18,28.603396226415096,2.3527959628927935,,,,18,27.224163568773232,1.2567038624037774,,,,18,25.08256227758007,1.9987581154628542,,,,18,19.152424242424242,2.3914513538004747,,,,18,14.699655172413792,2.8886877855651423,,,,18,8.894897959183671,3.12540193166985,,,
19,9.872857142857143,2.332314695047539,,,,19,12.352307692307692,2.940056219189033,,,,19,16.476744186046513,3.2157922246677626,,,,19,24.795169082125607,3.508055029811275,,,,19,27.40048309178744,2.8648713216002633,,,,19,30.402870813397133,2.4497224503582626,,,,19,28.270149253731347,2.2783382871860036,,,,19,27.05897435897436,1.261635244508106,,,,19,24.873800738007382,1.9348274189463166,,,,19,18.62917933130699,2.4653710353008664,,,,19,14.308445945945946,2.863722821036772,,,,19,8.501,3.1557723301911373,,,
20,9.588043478260868,2.237858175913064,,,,20,12.085204081632654,2.932181652637669,,,,20,15.941474654377881,3.1122966523329,,,,20,24.166507177033495,3.491456113231032,,,,20,26.97756097560976,2.9188677895908963,,,,20,29.945238095238096,2.6763872576356484,,,,20,28.034074074074073,2.2065445740967924,,,,20,26.829304029304026,1.225261529629936,,,,20,24.700719424460434,1.9342797965520164,,,,20,18.282089552238805,2.4549751722691635,,,,20,13.971379310344828,2.7118338675311913,,,,20,8.277551020408163,3.1434749591535627,,,
21,9.359566787003608,2.2588191765288115,,,,21,11.79234693877551,2.93318323321839,,,,21,15.412093023255816,2.9667526355678864,,,,21,23.536842105263162,3.5266357064050804,,,,21,26.562439024390244,2.716167296553609,,,,21,29.50095238095238,2.72204388327858,,,,21,27.840892193308548,2.1179092814464924,,,,21,26.640073529411765,1.2077768811305447,,,,21,24.446014492753623,1.9099905303107962,,,,21,18.01964285714286,2.436704911315675,,,,21,13.631615120274914,2.765862803492589,,,,21,8.089949748743718,3.1573634916778808,,,
22,9.10915750915751,2.3804508347487596,,,,22,11.538775510204081,2.9492175597792807,,,,22,15.180645161290322,2.7895118824432807,,,,22,22.92153110047847,3.4412034100471076,,,,22,26.114009661835752,2.775469992823931,,,,22,29.095238095238095,2.7465781638208155,,,,22,27.630627306273063,2.110783937682654,,,,22,26.51875,1.1447038773900282,,,,22,24.27081850533808,1.8991669945293146,,,,22,17.80925925925926,2.460209404806974,,,,22,13.441868512110727,2.7504534957962705,,,,22,7.820707070707071,3.123344087341291,,,
23,8.835925925925926,2.2975200144362735,,,,23,11.216923076923077,2.8700345337385875,,,,23,14.904147465437788,2.7420654424532507,,,,23,22.425837320574164,3.294711202298277,,,,23,26.096618357487923,2.7882150479950254,,,,23,28.752153110047846,2.6787677763337046,,,,23,27.50110701107011,2.1205284343642163,,,,23,26.34926470588235,1.1064647148576017,,,,23,24.184249084249082,1.8748404289239478,,,,23,17.43914373088685,2.48801344200515,,,,23,12.952542372881355,2.691565981848711,,,,23,7.6681592039801,3.242101936966043,,,
